attachment_type_id,label
jahresbericht-und-jahresrechnung,Jahresbericht und Jahresrechnung
revisionsbericht,Revisionsbericht
arztzeugnis,Arztzeugnis
ausbildungsbestatigung,Ausbildungsbestätigung
referenzen,Referenzen
kontoangaben,Kontoangaben
vollstandiger-lebenslauf-inkl-geburtsdatum,vollständiger Lebenslauf (inkl. Geburtsdatum)
aktuelle-steuererklarung,aktuelle Steuererklärung
liste-samtlicher-angefragter-stiftungen,Liste sämtlicher angefragter Stiftungen
beilagen-gemass-unserem-formular-auf-der-website,Beilagen gemäss unserem Formular auf der Website
steuererklarungen,Steuererklärungen
eventuell-bericht-des-betriebsberaters,eventuell Bericht des Betriebsberaters
personalien,Personalien
aktuelle-steuerrechnung,aktuelle Steuerrechnung
finanzierungsplan,Finanzierungsplan
liste-der-angefragten-stiftungen,Liste der angefragten Stiftungen
finanzierungsplan-mit-aufstellung-aller-eingereichten-gesuche,Finanzierungsplan (mit Aufstellung aller eingereichten Gesuche)
finanzielle-verhaltnisse-des-gesuchstellers-genaue-anweisungen-auf-website-www-b,Finanzielle Verhältnisse des Gesuchstellers. Genaue Anweisungen auf Website: www.buchmann-kollbrunner.ch
buda-gesuchformular-mit-budgetblatt-u-beilagen,BüDa-Gesuchformular mit Budgetblatt u. Beilagen
einzahlungsschein,Einzahlungsschein
cv-halbjahresbudget-aktuelle-stipendienentscheide-und-darlehenszusagen-letzte-st,CV / Halbjahresbudget / aktuelle Stipendienentscheide und Darlehenszusagen / letzte Steuerrechnung von Gesuchstellerin resp. -steller sowie deren/dessen Eltern
gesuch-mit-antrag-um-kostenubernahme-fur-leistungen,Gesuch mit Antrag um Kostenübernahme (für Leistungen
die-von-den-sozialversicherungen-nicht-ubernommen-werden-konnen-mit-entsprechend,die von den Sozialversicherungen nicht übernommen werden können) mit entsprechenden Belegen und Hinweis auf die persönlichen Verhältnisse (Gesundheit
familie,Familie
finanzen,Finanzen)
kopie-reisepass-und-letzter-steuererklaung,Kopie Reisepass und letzter Steuererkläung
kopie-auslanderausweis,Kopie Ausländerausweis
aufstellung-einnahmen-ausgaben,Aufstellung Einnahmen/Ausgaben
bei-institutionen-statuten,Bei Institutionen: Statuten
mitgliederverzeichnis,Mitgliederverzeichnis
jahresbericht,Jahresbericht
jahresrechnung,Jahresrechnung
budget,Budget
bei-privatpersonen-monatliche-einkunfte-ausgaben,bei Privatpersonen: monatliche Einkünfte/Ausgaben
steuerausweis,Steuerausweis
kopie-maturitatszeugnis,Kopie Maturitätszeugnis
lebenslauf,Lebenslauf
schriftliche-begrundung,schriftliche Begründung
online-formular-details-zur-institution-name,Online-Formular: Details zur Institution (Name
rechtsform,Rechtsform
adresse,Adresse
ansprechperson,Ansprechperson
tel,Tel
e-mail,E-Mail
homepage,Homepage)
zum-projekt-projekttitel,zum Projekt (Projekttitel
kurzbegrundung-mittelbedarf,Kurzbegründung Mittelbedarf
zielgruppe,Zielgruppe
anteil-stadtzurcher-innen,Anteil Stadtzürcher*innen
projektdauer-zeitraum,Projektdauer/Zeitraum)
zu-den-kosten,zu den Kosten
den-beitragen-dritter-zusatzliche-unterlagen-kurportrat-der-institution,den Beiträgen Dritter Zusätzliche Unterlagen: Kurporträt der Institution
detaillierte-beschreibung-begrundung-des-projekts-max-5-seiten,Detaillierte Beschreibung / Begründung des Projekts (max. 5 Seiten)
detaillierter-kostenvoranschlag,Detaillierter Kostenvoranschlag
ev-richtpreisofferten,ev. Richtpreisofferten
jahresrechnung-und-budget-aktuelle-verfugbare-version,Jahresrechnung und Budget (aktuelle verfügbare Version)
statuten,Statuten
liste-aller-beilagen-auf-anfrage,Liste aller Beilagen auf Anfrage
angaben-uber-finanzielle-verhaltnisse-vermogen,Angaben über finanzielle Verhältnisse (Vermögen)
schriftliches-gesuch-mit-belegen-betreffend-der-finanziellen-aspekte,Schriftliches Gesuch mit Belegen betreffend der finanziellen Aspekte
einzureichende-beilagen-entsprechend-speziellem-merkblatt,einzureichende Beilagen entsprechend speziellem Merkblatt
finanzplan,Finanzplan
steuerausweiskopie,Steuerausweiskopie
kostenaufstellung,Kostenaufstellung
steuerformulare,Steuerformulare
finanzielle-ubersicht,Finanzielle Übersicht
begleitschreiben-einer-sozialen-institution,Begleitschreiben einer sozialen Institution
sehr-einfach-mit-schriftlichem-gesuch-inkl-kurzbegrundung,sehr einfach mit schriftlichem Gesuch inkl. Kurzbegründung
