target_group_id,raw_label,canonical_group,canonical_group_slug
institutionen,Institutionen,,
organisationen,Organisationen,,
personen-mit-korperlicher-und-oder-geistiger-einschrankung,Personen mit körperlicher und/oder geistiger Einschränkung,,
fachpersonen-heilpadagogik,/ Fachpersonen: Heilpädagogik,,
logopadie,Logopädie,,
sozialpadagogik,Sozialpädagogik,,
agogik,Agogik,,
ergotherapie-etc,Ergotherapie etc,Health / Illness,health
jugend-familie,Jugend & Familie,Youth & Family,youth_family
altere-menschen,Ältere Menschen,Older People,elderly
menschen-mit-behinderungen,Menschen mit Behinderungen,People with Disabilities,disability
auslander-innen,Ausländer/innen,Migration / Asylum,migration
armut,Armut,Poverty,poverty
bedurftige,Bedürftige,Poverty,poverty
gemeinnutzige-institutionen,gemeinnützige Institutionen,,
kinder,Kinder,Youth & Family,youth_family
jugend-und-familie,Jugend und Familie,Youth & Family,youth_family
kranke,Kranke,Health / Illness,health
in-ausbildung-stehende,in Ausbildung stehende,Education,education
ausbildung,Ausbildung,Education,education
frauen-an-der-universitat-eth-nicht-fachhochschulen,Frauen an der Universität/ETH (nicht Fachhochschulen),Education,education
beitrage-an-kleinere-institutionen,Beiträge an kleinere Institutionen,,
die-sozial,die sozial,,
gemeinnutzig,gemeinnützig,,
kulturell-oder-okologisch-schwergewichtig-in-der-schweiz-tatig-sind,kulturell oder ökologisch schwergewichtig in der Schweiz tätig sind,,
v-a-innovative-projekte-mit-nachhaltiger-wirkung-keine-einzelhilfe,v.a. innovative Projekte mit nachhaltiger Wirkung. Keine Einzelhilfe,,
auslander-innen-mit-niederlassungsbewilligung,Ausländer/innen mit Niederlassungsbewilligung,Migration / Asylum,migration
geistig-und-oder-korperlich-menschen-mit-behinderungen-personen,Geistig und/oder körperlich Menschen mit Behinderungen Personen,People with Disabilities,disability
institutionen-fur-geistig-und-oder-korperlich-menschen-mit-behinderungen-persone,Institutionen für geistig und/oder körperlich Menschen mit Behinderungen Personen. Nur für Sozialhilfestellen: unverschuldet in Not lebende Personen im Kanton Zürich,People with Disabilities,disability
das-angebot-richtet-sich-an-mitglieder-der-evang-reformierten-landeskirche-des-k,Das Angebot richtet sich an Mitglieder der Evang.-reformierten Landeskirche des Kantons Zürich,,
jugend,Jugend,Youth & Family,youth_family
familie,Familie,Youth & Family,youth_family
betagte,Betagte,Older People,elderly
studierende-schweizer-innen-und-auslander-innen-an-einer-schweizerischen-univers,Studierende (Schweizer/innen und Ausländer/innen) an einer schweizerischen universitären Hochschule auf Bachelor- / Masterebene,Migration / Asylum,migration
in-ch-lebende-burger-mit-de-nationalitat,in CH lebende Bürger mit DE-Nationalität,Migration / Asylum,migration
frauen-und-kinder-in-not,Frauen und Kinder in Not,Youth & Family,youth_family
kinder-jugendliche-bis-zum-18-altersjahr-in-finanziell-knappen-verhaltnissen-fur,Kinder/Jugendliche bis zum 18. Altersjahr in finanziell knappen Verhältnissen für Ausbildung,Youth & Family,youth_family
etc,etc,,
personen-ab-70sten-altersjahr,Personen ab 70sten Altersjahr,Older People,elderly
absolventen-von-einer-erstausbildung-an-der-universitat-oder-an-der-eth-bis-zum-,Absolventen von einer Erstausbildung an der Universität oder an der ETH bis zum Master-Diplom,Education,education
musikhochschulabsolventen-ab-lehrdiplom-keine-fachhochschulen,Musikhochschulabsolventen ab Lehrdiplom (keine Fachhochschulen),Education,education
gesundheit-krankheit,Gesundheit/Krankheit,Health / Illness,health
migration-asyl,Migration/Asyl,Migration / Asylum,migration
