org_id,applicant_type_id
accentus-stiftung,institutionen
active-communication-ag,privatpersonen
active-communication-ag,institutionen
adele-koller-knusli-stiftung,institutionen
age-stiftung,privatpersonen
age-stiftung,institutionen
albert-und-ida-beer-stiftung,privatpersonen
albert-und-ida-beer-stiftung,institutionen
alfred-und-bertha-zangger-weber-stiftung,privatpersonen
alfred-und-bertha-zangger-weber-stiftung,institutionen
anna-caroline-stiftung,privatpersonen
anna-maria-und-karl-kramer-stiftung,institutionen
anna-und-paul-bucher-gossweiler-stiftung,privatpersonen
august-weidmann-fursorge-stiftung,privatpersonen
august-weidmann-fursorge-stiftung,institutionen
boniger-kramer-stiftung,privatpersonen
buchmann-kollbrunner-stiftung,privatpersonen
buchmann-kollbrunner-stiftung,institutionen
burgschafts-und-darlehensgenossenschaft,privatpersonen
burgschafts-und-darlehensgenossenschaft,institutionen
cassinelli-vogel-stiftung,privatpersonen
cassinelli-vogel-stiftung,institutionen
chana-lutomirsky-stiftung,privatpersonen
chana-lutomirsky-stiftung,institutionen
charles-e-blatter-stiftung,privatpersonen
clara-fehr-stiftung,privatpersonen
clara-fehr-stiftung,institutionen
deutscher-hilfsverein-zurich,privatpersonen
deutscher-hilfsverein-zurich,institutionen
dora-grob-reinhart-stiftung,privatpersonen
dora-grob-reinhart-stiftung,aber-nur-uber-institutionen-angefragt
dr-arnold-u-huggenberger-stiftung,privatpersonen
dr-arnold-u-huggenberger-stiftung,institutionen
dr-hans-duttweiler-hug-stiftung,privatpersonen
dr-hans-duttweiler-hug-stiftung,institutionen
dr-max-husmann-stiftung,privatpersonen
dr-stephan-a-porta-stiftung,institutionen
educationsuisse,privatpersonen
elisabetha-baumann-fonds,privatpersonen
emil-huber-stockar-stiftung,privatpersonen
emil-huber-stockar-stiftung,institutionen
erika-fissmer-stiftung,privatpersonen
eth-zurich-studienfinanzierung,privatpersonen
ernst-und-frieda-bantli-stiftung,privatpersonen
ernst-und-frieda-bantli-stiftung,institutionen
f-a-kagi-rutishauser-stiftung,privatpersonen
f-a-kagi-rutishauser-stiftung,institutionen
fondation-oertli-stiftung,privatpersonen
fondation-oertli-stiftung,institutionen
fred-tschanz-stiftung,privatpersonen
frieda-locher-hofmann-stiftung,institutionen
friedrich-und-amalie-meyer-baumann-stiftung,privatpersonen
friedrich-und-amalie-meyer-baumann-stiftung,institutionen
fritz-gerber-stiftung-fur-begabte-junge-menschen,privatpersonen
fur-die-kinder-fur-die-zukunft,privatpersonen
gemeinnutzige-gesellschaft-der-bezirke-zurich-dietikon,privatpersonen
gemeinnutzige-gesellschaft-des-bezirks-affoltern,institutionen
gemeinnutzige-gesellschaft-des-bezirks-andelfingen,privatpersonen
gemeinnutzige-gesellschaft-des-bezirks-andelfingen,institutionen
gemeinnutzige-gesellschaft-des-bezirks-bulach,privatpersonen
gemeinnutzige-gesellschaft-des-bezirks-bulach,institutionen
gemeinnutzige-gesellschaft-des-bezirks-dielsdorf,privatpersonen
gemeinnutzige-gesellschaft-des-bezirks-dielsdorf,institutionen
gemeinnutzige-gesellschaft-des-bezirks-hinwil,privatpersonen
gemeinnutzige-gesellschaft-des-bezirks-hinwil,institutionen
gemeinnutzige-gesellschaft-des-bezirks-meilen,privatpersonen
gemeinnutzige-gesellschaft-des-bezirks-pfaffikon,privatpersonen
gemeinnutzige-gesellschaft-des-bezirks-pfaffikon,institutionen
gemeinnutzige-gesellschaft-bezirk-winterthur,privatpersonen
gemeinnutzige-gesellschaft-bezirk-winterthur,institutionen
gemeinnutzige-gesellschaft-des-bezirks-uster,privatpersonen
gemeinnutzige-gesellschaft-des-kantons-zurich,privatpersonen
gemeinnutzige-gesellschaft-des-kantons-zurich,institutionen
georg-und-bertha-schwyzer-winiker-stiftung,privatpersonen
geschwister-mader-stiftung,institutionen
gottfried-r-friedli-stiftung,privatpersonen
gottfried-scharer-stiftung,privatpersonen
gottfried-scharer-stiftung,institutionen
grutli-stiftung-zurich,institutionen
hans-henny-fonds-der-albertus-magnus-stiftung,institutionen
hans-jegen-stiftung,privatpersonen
hans-jegen-stiftung,institutionen
hans-konrad-rahn-stiftung,institutionen
hans-trachsler-fonds,privatpersonen
hans-trachsler-fonds,institutionen
hans-vogel-stiftung,privatpersonen
hans-vogel-stiftung,institutionen
hans-wegmann-stiftung,privatpersonen
hans-wegmann-stiftung,institutionen
hans-und-mathilde-eichenberger-stiftung,privatpersonen
hatt-bucher-stiftung,privatpersonen
hatt-bucher-stiftung,institutionen
hedwig-widmer-stiftung,privatpersonen
hausermann-courvoisier-stiftung,privatpersonen
helfer-und-schluter-stiftung,privatpersonen
hirzel-stiftung,privatpersonen
hirzel-stiftung,institutionen
huber-graf-und-billeter-graf-stiftung,privatpersonen
huber-graf-und-billeter-graf-stiftung,institutionen
hulfsgesellschaft-in-zurich,privatpersonen
hulfsgesellschaft-in-zurich,institutionen
ilse-und-ernst-braunschweig-stiftung,institutionen
jacobs-foundation,privatpersonen
jacobs-foundation,institutionen
jubilaumsstiftung-der-schweizer-reisekasse,privatpersonen
jubilaumsstiftung-der-schweizer-reisekasse,institutionen
jugendhilfeverein-des-bezirkes-dielsdorf,privatpersonen
kaspar-spoerry-stiftung,privatpersonen
kids-kidney-care,privatpersonen
kolianda-stiftung,privatpersonen
krokop-stiftung,institutionen
kurt-fontheim-stiftung,privatpersonen
lamprecht-steiger-stiftung,institutionen
lotteriefonds-des-kantons-zurich,institutionen
luchsinger-haggenmacher-stiftung,privatpersonen
luiza-penha-walter-renteiro-stiftung-bezirk-meilen,privatpersonen
luiza-penha-walter-renteiro-stiftung-bezirk-meilen,institutionen
martha-bock-stiftung,privatpersonen
martha-bock-stiftung,institutionen
max-rudolf-forrer-stiftung,privatpersonen
max-rudolf-forrer-stiftung,institutionen
max-und-erika-gideon-stiftung,institutionen
migros-genossenschafts-bund,privatpersonen
migros-genossenschafts-bund,institutionen
monique-dornonville-de-la-cour-stiftung,institution
moriz-und-elsa-von-kuffner-stiftung,privatpersonen
moriz-und-elsa-von-kuffner-stiftung,institutionen
orphelina-stiftung,privatpersonen
orphelina-stiftung,institutionen
oscar-seeger-stiftung,institutionen
paul-peter-alden-stiftung,privatpersonen
paul-peter-alden-stiftung,institutionen
paul-schiller-stiftung,institutionen
paul-und-anna-klaproth-stiftung,privatpersonen
paulie-und-fridolin-dublin-stiftung,privatpersonen
paulie-und-fridolin-dublin-stiftung,institutionen
pestalozzi-stiftung,privatpersonen
pro-infirmis,privatpersonen
pro-infirmis,institutionen
pharmasuisse,privatpersonen
pro-juventute,privatpersonen
pro-juventute,institutionen
pro-senectute-kanton-zurich,privatpersonen
pro-senectute-kanton-zurich,institutionen
reka-stiftung-ferienhilfe,privatpersonen
reka-stiftung-ferienhilfe,institutionen
robert-stahel-stiftung,privatpersonen
rokj-stadt-zurich-rotary-fur-kinder-und-jugendliche,privatpersonen
rolf-und-gertrud-waldmann-stiftung,privatpersonen
rolf-und-gertrud-waldmann-stiftung,institutionen
rudolf-pohl-stiftung,privatpersonen
