org_id,name,page,youth_family,elderly,disability,health,migration,education,poverty,individuals,institutions,exhausted,derived_from,parse_warning
accentus-stiftung,Accentus Stiftung,31,False,False,False,False,False,False,False,False,True,False,detailed_entry,
active-communication-ag,Active Communication AG,31,False,False,False,True,False,False,False,True,True,False,detailed_entry,
adele-koller-knusli-stiftung,Adele Koller-Knüsli Stiftung,31,True,True,True,False,True,False,True,False,True,False,detailed_entry,
age-stiftung,AGE-Stiftung,32,False,False,False,False,False,False,False,True,True,False,detailed_entry,
albert-und-ida-beer-stiftung,Albert und Ida Beer Stiftung,32,False,False,False,False,False,False,True,True,True,False,detailed_entry,
alfred-und-bertha-zangger-weber-stiftung,Alfred und Bertha Zangger-Weber-Stiftung,32,True,True,True,True,False,True,False,True,True,False,detailed_entry,
anna-caroline-stiftung,Anna Caroline Stiftung,34,True,False,False,False,False,True,False,True,False,False,detailed_entry,
anna-maria-und-karl-kramer-stiftung,Anna Maria und Karl Kramer-Stiftung,34,False,False,False,False,False,False,False,False,True,False,detailed_entry,
anna-und-paul-bucher-gossweiler-stiftung,Anna und Paul Bucher-Gossweiler-Stiftung,34,False,False,False,False,False,False,True,True,False,False,detailed_entry,
august-weidmann-fursorge-stiftung,August Weidmann Fürsorge-Stiftung,35,True,True,True,True,True,True,True,True,True,False,detailed_entry,
boniger-kramer-stiftung,Böniger-Kramer-Stiftung,35,False,False,False,False,False,False,False,True,False,False,detailed_entry,
buchmann-kollbrunner-stiftung,Buchmann-Kollbrunner-Stiftung,36,False,False,True,False,False,False,True,True,True,False,detailed_entry,
burgschafts-und-darlehensgenossenschaft,Bürgschafts- und Darlehensgenossenschaft,36,False,False,False,False,False,False,False,True,True,False,detailed_entry,
cassinelli-vogel-stiftung,Cassinelli-Vogel-Stiftung,37,True,True,True,True,True,True,True,True,True,False,detailed_entry,
chana-lutomirsky-stiftung,Chana Lutomirsky Stiftung,37,False,False,True,False,False,False,False,True,True,False,detailed_entry,
charles-e-blatter-stiftung,Charles E. Blatter-Stiftung,37,True,False,False,False,True,True,False,True,False,False,detailed_entry,
clara-fehr-stiftung,Clara Fehr-Stiftung,38,False,False,False,False,False,False,False,True,True,False,detailed_entry,
deutscher-hilfsverein-zurich,Deutscher Hilfsverein Zürich,38,True,True,True,True,True,False,True,True,True,False,detailed_entry,
dora-grob-reinhart-stiftung,Dora-Grob-Reinhart-Stiftung,39,True,False,False,False,False,False,True,True,True,False,detailed_entry,
dr-arnold-u-huggenberger-stiftung,Dr. Arnold U. Huggenberger-Stiftung,39,True,True,False,False,False,True,True,True,True,False,detailed_entry,
dr-hans-duttweiler-hug-stiftung,Dr. Hans Duttweiler-Hug-Stiftung,40,False,False,True,False,False,False,False,True,True,False,detailed_entry,
dr-max-husmann-stiftung,Dr. Max Husmann-Stiftung,40,False,False,False,False,False,True,False,True,False,False,detailed_entry,
dr-stephan-a-porta-stiftung,Dr. Stephan à Porta-Stiftung,40,True,True,True,True,True,False,True,False,True,False,detailed_entry,
educationsuisse,educationsuisse,41,True,False,False,False,True,True,False,True,False,False,detailed_entry,
elisabetha-baumann-fonds,Elisabetha Baumann-Fonds,42,True,False,False,False,False,True,False,True,False,False,detailed_entry,
emil-huber-stockar-stiftung,Emil Huber-Stockar Stiftung,42,False,False,False,False,False,True,False,True,True,False,detailed_entry,
erika-fissmer-stiftung,Erika Fissmer-Stiftung,42,True,True,True,True,False,False,True,True,False,False,detailed_entry,
eth-zurich-studienfinanzierung,ETH Zürich Studienfinanzierung,43,True,False,False,False,False,True,False,True,False,False,detailed_entry,
ernst-und-frieda-bantli-stiftung,Ernst und Frieda Bantli-Stiftung,43,False,True,False,False,False,False,True,True,True,False,detailed_entry,
f-a-kagi-rutishauser-stiftung,F. & A. Kägi-Rutishauser-Stiftung,43,True,False,False,False,False,True,False,True,True,False,detailed_entry,
fondation-oertli-stiftung,Fondation  Oertli-Stiftung,44,False,False,False,False,False,False,False,True,True,False,detailed_entry,
fred-tschanz-stiftung,Fred Tschanz-Stiftung,44,True,False,True,False,False,True,False,True,False,False,detailed_entry,
frieda-locher-hofmann-stiftung,Frieda  Locher-Hofmann-Stiftung,44,False,False,True,True,False,False,False,False,True,False,detailed_entry,
friedrich-und-amalie-meyer-baumann-stiftung,Friedrich und Amalie Meyer-Baumann-Stiftung,45,False,False,True,False,False,True,False,True,True,False,detailed_entry,
fritz-gerber-stiftung-fur-begabte-junge-menschen,Fritz-Gerber-Stiftung für begabte junge Menschen,45,False,True,False,False,False,True,False,True,False,False,detailed_entry,
fur-die-kinder-fur-die-zukunft,Für die Kinder – Für die Zukunft,46,True,False,False,False,False,False,False,True,False,False,detailed_entry,
gemeinnutzige-gesellschaft-der-bezirke-zurich-dietikon,Gemeinnützige Gesellschaft der Bezirke Zürich/ Dietikon,46,True,False,False,False,False,True,False,True,False,False,detailed_entry,
gemeinnutzige-gesellschaft-des-bezirks-affoltern,Gemeinnützige Gesellschaft des Bezirks Affoltern,46,True,True,False,False,False,True,True,False,True,False,detailed_entry,
gemeinnutzige-gesellschaft-des-bezirks-andelfingen,Gemeinnützige Gesellschaft des Bezirks Andelfingen,47,True,True,True,True,False,True,True,True,True,False,detailed_entry,
gemeinnutzige-gesellschaft-des-bezirks-bulach,Gemeinnützige Gesellschaft des Bezirks Bülach,47,True,False,True,False,False,True,True,True,True,False,detailed_entry,
gemeinnutzige-gesellschaft-des-bezirks-dielsdorf,Gemeinnützige Gesellschaft des Bezirks Dielsdorf,47,True,True,False,False,False,False,True,True,True,False,detailed_entry,
gemeinnutzige-gesellschaft-des-bezirks-hinwil,Gemeinnützige Gesellschaft des Bezirks Hinwil,48,True,True,True,True,True,True,True,True,True,False,detailed_entry,
gemeinnutzige-gesellschaft-des-bezirks-meilen,Gemeinnützige Gesellschaft des Bezirks Meilen,48,False,False,False,False,False,False,False,True,False,False,detailed_entry,
gemeinnutzige-gesellschaft-des-bezirks-pfaffikon,Gemeinnützige Gesellschaft des Bezirks Pfäffikon,48,True,True,False,False,False,True,True,True,True,False,detailed_entry,
gemeinnutzige-gesellschaft-bezirk-winterthur,Gemeinnützige Gesellschaft Bezirk Winterthur,49,True,True,True,True,True,True,True,True,True,False,detailed_entry,
gemeinnutzige-gesellschaft-des-bezirks-uster,Gemeinnützige Gesellschaft des Bezirks Uster,49,True,True,True,True,True,True,True,True,False,False,detailed_entry,
gemeinnutzige-gesellschaft-des-kantons-zurich,Gemeinnützige Gesellschaft des Kantons Zürich,50,True,False,True,True,True,True,True,True,True,False,detailed_entry,
georg-und-bertha-schwyzer-winiker-stiftung,Georg und Bertha Schwyzer- Winiker-Stiftung,50,True,False,True,True,True,False,True,True,False,False,detailed_entry,
gertrude-von-meissner-stiftung,Gertrude von Meissner-Stiftung,50,False,False,False,False,False,False,False,False,False,False,detailed_entry,overview_row_only
